title,year,rating,voting,duration,link
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1200000.0,143,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_223
The Best Years of Our Lives,1946,8.1,71000.0,170,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_224
Jai Bhim,2021,8.7,219000.0,164,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_225
The Exorcist,1973,8.1,460000.0,122,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_226
Rush,2013,8.1,518000.0,123,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_227
Network,1976,8.1,172000.0,121,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_228
The Wizard of Oz,1939,8.1,432000.0,102,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_229
Stand by Me,1986,8.1,446000.0,89,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_230
The Incredibles,2004,8.0,819000.0,115,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_231
Hachi: A Dog's Tale,2009,8.1,315000.0,93,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_232
The Sound of Music,1965,8.1,264000.0,172,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_233
The Handmaiden,2016,8.1,176000.0,145,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_234
My Father and My Son,2005,8.2,93000.0,112,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_235
To Be or Not to Be,1942,8.1,44000.0,99,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_236
Into the Wild,2007,8.1,662000.0,148,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_237
The Battle of Algiers,1966,8.1,66000.0,121,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_238
Groundhog Day,1993,8.0,691000.0,101,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_239
The Grapes of Wrath,1940,8.1,101000.0,129,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_240
The Iron Giant,1999,8.1,231000.0,86,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_241
Amores Perros,2000,8.1,254000.0,154,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_242
Rebecca,1940,8.1,148000.0,130,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_243
Cool Hand Luke,1967,8.1,190000.0,127,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_244
The Help,2011,8.1,497000.0,146,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_245
It Happened One Night,1934,8.1,113000.0,105,https://www.imdb.com/title/tt0025316/?ref_=chttp_t_246
Aladdin,1992,8.0,473000.0,90,https://www.imdb.com/title/tt0103639/?ref_=chttp_t_247
Drishyam,2015,8.2,96000.0,163,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_248
"Paris, Texas",1984,8.1,121000.0,145,https://www.imdb.com/title/tt0087884/?ref_=chttp_t_249
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,76000.0,117,https://www.imdb.com/title/tt11032374/?ref_=chttp_t_250
